0.005137 0.566330
0.191785 0.808680
0.585804 0.478660
0.349024 0.898882
0.823504 0.745379
0.172741 0.859613
0.710885 0.512294
0.305393 0.017527
0.093075 0.366156
0.150559 0.167267
0.988147 0.444883
0.118020 0.005939
0.013381 0.377727
0.534167 0.573355
0.599517 0.607929
0.166500 0.662617
0.453484 0.351940
0.055520 0.605844
0.784259 0.803399
0.519249 0.302758
0.873243 0.726090
0.953342 0.925053
0.538384 0.142273
0.462681 0.234930
0.861513 0.208567
0.782009 0.841826
0.994305 0.995385
0.609342 0.391181
0.268008 0.296714
0.838008 0.028900
0.378731 0.091986
0.677396 0.057947
0.010831 0.922800
0.274752 0.276855
0.587462 0.691574
0.837329 0.726199
0.484487 0.205934
0.742653 0.469206
0.460905 0.948143
0.744681 0.106814
0.598773 0.384938
0.736032 0.607497
0.572308 0.361726
0.153325 0.221682
0.425465 0.805624
0.513925 0.986190
0.750692 0.345855
0.167204 0.661059
0.492633 0.064245
0.701876 0.504693
0.147053 0.945417
0.142869 0.904115
0.693891 0.301713
0.426612 0.072464
0.963370 0.684051
0.153926 0.877690
0.820475 0.583429
0.190552 0.177100
0.814915 0.474644
0.153180 0.501327
0.732427 0.406244
0.278053 0.569050
0.681707 0.754916
0.722490 0.476097
0.119108 0.368984
0.835903 0.033427
0.520640 0.662061
0.426177 0.103297
0.953688 0.925182
0.549996 0.346726
0.472192 0.372265
0.845922 0.318227
0.457245 0.270843
0.981668 0.298334
0.739183 0.566841
0.193800 0.761878
0.837601 0.397259
0.498481 0.893305
0.027344 0.990097
0.570389 0.050682
0.529505 0.193732
0.841602 0.627199
0.658042 0.199082
0.841136 0.122259
0.113696 0.742150
0.317287 0.937204
0.284372 0.331422
0.140528 0.733101
0.834847 0.709558
0.601070 0.744025
0.249230 0.144263
0.003165 0.060293
0.803590 0.849657
0.210845 0.118755
0.553188 0.018111
0.114970 0.453868
0.753681 0.686194
0.543303 0.072990
0.439073 0.202816
0.695881 0.293286
